timestamp;x;y;z
1432030082509598;-54.3125;12.9375;26.625
1432030082531615;-54.4375;17.1875;31.875
1432030082554629;-47.6875;20.3125;35.6875
1432030082570586;-28.875;26.5625;38.3125
1432030082600660;-15.4375;27.375;42.75
1432030082614669;-10.6875;30.125;46.3125
1432030082629653;-15.1875;34.5625;53.5
1432030082651696;-17.625;32.875;54.8125
1432030082674715;-11.5625;31;56.8125
1432030082689696;-7.8125;29.625;59.9375
1432030082711738;1.625;25.1875;63.0625
1432030082734697;11.625;19.3125;76
1432030082749712;3.75;15.5625;89.125
1432030082771783;-7.625;13.8125;99
1432030082794797;-17.8125;10.5625;107.688
1432030082808760;-20.3125;6.375;121.75
1432030082831772;-24.25;8.375;136.563
1432030082854840;-27.6875;12.25;148.688
1432030082868851;-34.125;15.625;158.063
1432030082891812;-43.75;22.25;160.875
1432030082914828;-60.4375;28.5625;159.625
1432030082937872;-71.125;34.1875;153.125
1432030082967919;-79.5625;38.625;142.75
1432030082974926;-90.5;40.0625;134.75
1432030082988934;-103.938;42.125;125.438
1432030083011949;-107.813;45.9375;108.5
1432030083034967;-87.8125;56.0625;88.6875
1432030083048978;-59.125;68.3125;69.75
1432030083071994;-55.875;77.125;45.8125
1432030083095011;-51;84.3125;16.0625
1432030083108961;-47.5625;90.875;-15
1432030083132034;-34.75;91.4375;-36.0625
1432030083155000;-32.375;83.375;-47.1875
1432030083169175;-38.6875;88.1875;-64.9375
1432030083192164;-29.3125;83.875;-74.4375
1432030083215153;-2.875;73.8125;-85.5
1432030083229166;-16.125;63.625;-85.5625
1432030083252268;-38.625;48.0625;-79
1432030083275393;-35.1875;46.3125;-84.75
1432030083289431;-2.875;53.8125;-84.625
1432030083311444;22.625;55.5;-78.625
1432030083335433;-6.125;46.625;-74.125
1432030083349470;-57.125;33.6875;-66.3125
1432030083371485;-75.6875;25.6875;-57.75
1432030083394503;-47.8125;23.875;-48.875
1432030083409476;0.5;24.6875;-39.9375
1432030083431499;22.25;21.75;-35.125
1432030083454546;11.3125;15.875;-35.8125
1432030083469560;-2.9375;13.3125;-36.375
1432030083491682;-9.625;11.9375;-34.9375
1432030083514699;-4.375;12.625;-32.0625
1432030083529680;10.875;12;-31.3125
1432030083551749;16.375;12.9375;-28.5
1432030083574759;13.75;9.875;-25
1432030083589768;2.6875;6.6875;-24.6875
1432030083611781;-10.5;5.75;-27.75
1432030083633825;-14.0625;2.9375;-28.5625
1432030083648807;-8.375;1.375;-29.75
1432030083671959;-2.6875;-0.3125;-30.1875
1432030083694081;-0.0625;-2.375;-28.3125
1432030083709093;-1.875;-3;-24.9375
1432030083732107;2.875;1.0625;-16.125
1432030083754230;3;2.125;-6.875
1432030083769241;-7.25;1.375;-3.9375
1432030083792229;-16.6875;-0.1875;-2.8125
1432030083814274;-15.6875;-3.9375;0.625
1432030083829234;-10.9375;-1.75;4.625
1432030083852273;-7.125;-2.9375;16.375
1432030083874316;2.1875;-5.4375;29.9375
1432030083889326;3.6875;-8.8125;42.6875
1432030083911453;3.6875;-10.3125;55.75
1432030083934411;10.5625;-14.5;70.875
1432030083949475;15.5;-21.3125;85.375
1432030083971490;6.875;-28.625;94.1875
1432030083994452;-7.75;-37.5;95.0625
1432030084009518;-11.625;-45.1875;92.125
1432030084031536;-17.6875;-49.4375;86.25
1432030084054548;-15.0625;-50.125;77.25
1432030084069529;-9.5;-51.125;71.125
1432030084091575;2.9375;-49.125;65.6875
1432030084114678;2.5;-46.625;55.8125
1432030084129683;-0.9375;-46.25;46
1432030084151670;0.75;-43.375;35.0625
1432030084174715;14.6875;-39.5;22.125
1432030084189725;24.375;-35.75;3.0625
1432030084211769;33.9375;-30.25;-9.4375
1432030084234756;45.6875;-31.5625;-19.75
1432030084249766;42.3125;-29.1875;-40.25
1432030084271919;54;-22.1875;-51.6875
1432030084293931;63.6875;-20.3125;-63.875
