timestamp;x;y;z;w
1432029811195334;0.353882;-0.0151367;-0.821045;0.447632
1432029811213334;0.36615;-0.0188599;-0.820313;0.438965
1432029811233448;0.378052;-0.0230713;-0.819031;0.430969
1432029811255426;0.388916;-0.0244141;-0.817078;0.424927
1432029811279472;0.398132;-0.0209351;-0.814758;0.420898
1432029811293552;0.40741;-0.0142822;-0.812012;0.417603
1432029811315598;0.41626;-0.0045166;-0.808899;0.415161
1432029811338640;0.424622;0.00634766;-0.805359;0.413574
1432029811352732;0.433533;0.0161743;-0.800964;0.412598
1432029811376764;0.442261;0.0249634;-0.795959;0.412598
1432029811390826;0.448853;0.0339966;-0.790955;0.414368
1432029811422797;0.452576;0.0438843;-0.786438;0.41803
1432029811444865;0.453796;0.0537109;-0.782227;0.423462
1432029811451843;0.453918;0.0629883;-0.777527;0.430664
1432029811472843;0.452881;0.0704346;-0.772949;0.438721
1432029811503945;0.449829;0.0769043;-0.76886;0.447815
1432029811510898;0.445801;0.0829468;-0.764771;0.457703
1432029811540970;0.440674;0.0895386;-0.760742;0.468018
1432029811556949;0.434875;0.0953369;-0.757324;0.477722
1432029811572966;0.42926;0.0998535;-0.754211;0.486816
1432029811594061;0.423645;0.103149;-0.751343;0.4953
1432029811617091;0.41748;0.106201;-0.748901;0.503601
1432029811639093;0.41156;0.108643;-0.746521;0.511414
1432029811653217;0.406311;0.110474;-0.744446;0.518188
1432029811675359;0.401672;0.111084;-0.742981;0.523682
1432029811698375;0.397644;0.110413;-0.742188;0.528015
1432029811713388;0.394653;0.108521;-0.741699;0.531372
1432029811737346;0.392883;0.106201;-0.741333;0.53363
1432029811758386;0.392639;0.103882;-0.741089;0.534607
1432029811781379;0.393799;0.102051;-0.740906;0.534302
1432029811804486;0.396179;0.100769;-0.741028;0.532715
1432029811818497;0.399109;0.0998535;-0.741516;0.529968
1432029811833479;0.40271;0.0987549;-0.742188;0.526489
1432029811855629;0.408691;0.0977173;-0.742493;0.521667
1432029811878647;0.415894;0.0983887;-0.742737;0.515381
1432029811892764;0.422119;0.101379;-0.743469;0.508728
1432029811915746;0.427368;0.10498;-0.744751;0.501709
1432029811938761;0.4328;0.107056;-0.74646;0.493958
1432029811952752;0.438904;0.106995;-0.748291;0.485718
1432029811975863;0.44458;0.105713;-0.750122;0.478027
1432029811998865;0.448242;0.104736;-0.751831;0.472046
1432029812012874;0.450012;0.104248;-0.753296;0.468079
1432029812035891;0.450928;0.104309;-0.754333;0.465515
1432029812050896;0.451538;0.105103;-0.754944;0.463806
1432029812080921;0.451721;0.106995;-0.755066;0.462952
1432029812095915;0.451233;0.110046;-0.755066;0.462769
1432029812111923;0.450134;0.113342;-0.755127;0.462891
1432029812134942;0.449463;0.115662;-0.75531;0.462646
1432029812155958;0.450012;0.116455;-0.755615;0.461487
1432029812171966;0.451538;0.115906;-0.756226;0.459106
1432029812193000;0.453308;0.114502;-0.757324;0.455872
1432029812224121;0.455139;0.112793;-0.758667;0.452271
1432029812238231;0.457214;0.111145;-0.760071;0.448242
1432029812261251;0.459412;0.109924;-0.761475;0.443787
1432029812275261;0.461548;0.109192;-0.763245;0.438782
1432029812298242;0.463806;0.108521;-0.765259;0.432983
1432029812316261;0.466431;0.108154;-0.767395;0.426514
1432029812337368;0.469788;0.108276;-0.769287;0.419189
1432029812366598;0.474182;0.108643;-0.770935;0.411011
1432029812373606;0.479492;0.108765;-0.772278;0.402283
1432029812395648;0.485107;0.108521;-0.773376;0.393433
1432029812417664;0.490234;0.108093;-0.774536;0.384827
1432029812432637;0.495178;0.108093;-0.775452;0.376587
1432029812455717;0.499512;0.109619;-0.77594;0.369202
1432029812477760;0.503174;0.112793;-0.77594;0.36322
1432029812492713;0.506714;0.117554;-0.775208;0.358337
1432029812515828;0.510681;0.12323;-0.773682;0.354126
1432029812537865;0.514832;0.129089;-0.771729;0.350281
1432029812555826;0.518799;0.135071;-0.769592;0.346863
1432029812575897;0.522095;0.141541;-0.767273;0.344421
1432029812597908;0.52478;0.148438;-0.764832;0.342896
1432029812612918;0.527161;0.155334;-0.762146;0.342163
1432029812635907;0.529541;0.162109;-0.759094;0.342102
1432029812657950;0.531555;0.168945;-0.755859;0.342834
1432029812673036;0.53363;0.175964;-0.752136;0.344238
1432029812695043;0.536072;0.18396;-0.747803;0.345825
1432029812718097;0.538452;0.194092;-0.742554;0.347778
1432029812733209;0.540649;0.20636;-0.736938;0.349304
1432029812755376;0.542053;0.219238;-0.731628;0.350403
1432029812778493;0.542908;0.23053;-0.726929;0.351685
1432029812792553;0.543518;0.239624;-0.722473;0.353821
1432029812815736;0.543945;0.247131;-0.717651;0.357788
1432029812837713;0.543518;0.254578;-0.711975;0.364502
1432029812860713;0.542236;0.262451;-0.705322;0.373596
1432029812875928;0.540405;0.269714;-0.698303;0.384216
1432029812897889;0.538452;0.27533;-0.691406;0.395203
1432029812912993;0.536621;0.278687;-0.685059;0.406311
1432029812944001;0.534912;0.279236;-0.679443;0.417358
1432029812958009;0.533325;0.277161;-0.674622;0.428406
1432029812976075;0.531799;0.272827;-0.670288;0.439758
1432029812996106;0.53009;0.267395;-0.665955;0.451599
1432029813018112;0.527771;0.262146;-0.661316;0.46405
